ritual_number,paragraph
627,"A serious illness often necessitates the sacrifice of an ox. Before killing the animal invocations are made to the demons gie-bu-mu˙n, čo-gye-mu˙n, tsen-dŭt, and me-so-mu˙n, who takes the life of men. While the animal is being killed, the sick man is attached to it by a cord, and the bo˙n-t'i˙n beseeches the demon to accept the flesh and blood of the animal in place of the life of the man. The animal is cut up and the parts arranged ceremonially upon a bamboo mat. Six special offerings consisting of pieces of neck and lung, some rice and millet beer, are placed on bamboo leaves. The bo˙n-t'i˙n begs the demons to accept them, praying that they may cease to cause illness of all kinds: head-ache, stomach-ache, pains in the limbs, etc."
628,"Festival in honour of Kinchinjunga. Banging of drums and cymbals and trumpet-blowing at intervals throughout the night, but no set piece, so to speak, before 4.30 a.m., when there was a blast of trumpets such as that which we are asked to believe brought down the walls of Jericho. I was half asleep at the time and thought for a moment that an earthquake was imminent. Soon after dawn more Lamas arrived, and by about eight the usual twenty or so were present. Before the service started a large bundle of wormwood was lighted in the garden, the moment when it took fire being greeted by loud shouts from all present. The purpose of this fire is to keep the clouds away from Kinchinjunga throughout the day, so that the god may observe the ceremonies being carried out in its honour. All day yesterday Chodu and two companions spent the day constructing a most elaborate torma called Pong Rum. It was built up on a wooden baseboard about eighteen inches long and contained five separate offerings, the central one, dedicated to Jung Ngaw, being rather larger than the others, which were in honour of the following deities, all said to be satellites of Konchen: Pauhunri (a mountain forming part of the Cho La range, and known to irreverent mountaineers as Poor Henry. It is very prominent from Lingtem); Pe matchin Chaw-men; Ditchen Phoop; and Hla-ri Ning-phoop. The intervening spaces between these five main cones were completely filled with small tormas of every shape, said to represent attendants, ministers, servants and various minor deities. There were over two hundred of these, each having. a separate name. It was found that the entire company could not be accommodated on the Pong Rum itself, so the overflow was arranged on a brass tray, which the Lamas, however, later forgot about and never put on the altar. In the centre of the Pong Rum and immediately in front of the central cone was a yak's head (Yok thyak ) made of dough, but nobody seemed to know its significance. The preparation of the entire offering took four men roughly five hours. At the end of the ceremony it will be broken up and eaten; but the men who have made it are not allowed to taste it, which seems unjust. This morning the whole thing was brought out of the monastery and each of the five main cones further embellished by the addition of a sort of tin cape on which a design was built up in butter coloured bright red, blue, yellow and green. The whole thing now looks like the sweets served on Lloyd-Triestino liners and is, I should imagine, equally unpalatable. It was now taken inside and placed on a table in front of the altar, immediately in front of the central figure of Guru Rimpoche. Later on, bowls of water and several lighted lamps were put down in front of it, and a jar of incense was lighted at one side. There was the usual periodic chanting, like bees swarming, alternating with the usual bursts of music. About midday a small table was brought out and placed on the grass in front of the monastery. A bowl of sher-kem, the special ceremonial chi with maize and other grain floating in it, was placed on this, together with a large brass tray containing a number of small tormas. A young novice now came and stood by the table, took up one of the tormas in a spoon, and dipped it in the mixture. Having done this he held the spoon out at arm's length until there was what I can only describe as a musical orgasm inside the building, when he threw it from him with a shout of loch! whereupon it was at once snapped up by one of the numerous dogs waiting on the edge of the grass for this purpose. This was repeated at short intervals for about an hour, when one of the Lamas decided that it had gone on long enough and threw the remains of the liquid and the tormas away without further ceremony. At about six in the evening, just when it was growing dark, the whole Pong Rum was carefully removed from its place in front of the altar. It was first exhibited to the assembled Lamas inside the building and was then carried in procession once round the monastery. Except for the two men carrying it, the Lamas remained inside the building, but most of the spectators walked behind the offering, some of them turning prayer-wheels and chanting as they went. One man seemed almost fervent (or was it merely the drink?) and called upon the mountain god to bless him; and several told the carriers to halt a moment at the corner so that the gods could see the offering; but by this time Kinchinjunga was completely obscured by clouds. It is believed that the spirits take their departure while the Pong Rum is being carried round the building. As soon as the procession reached the main door again the offering was put down on the ground unceremoniously and quickly torn to pieces and distributed to all present. Some people first put their portion to their foreheads in an attitude of reverence before stuffing it into their bosoms to take home; others treated the host with no reverence and consumed it straight away."
629,"Lamas, but also by youths of the upper classes, mostly the sons of the various State officials. It is not so much a dance as a display of agility, discipline, and energy, in which considerable powers of endurance are required. It aims at combining physical training with a feeling of religious zeal and exaltation; and for this reason all the dancers are required to remain celibate during the month or so in which they train and prepare for the ceremony. They are also expected not to drink during this period of preparation; but during the actual performance, which lasts for some six hours or so, they are kept going by frequent draughts of alcohol. The ceremony is rendered impressive and dignified by the religious rite which is being carried on inside the monastery during the whole time the dance is being performed outside. This dance differs from all others of the sort I have seen in that the performers, except for the figures of Kinchinjunga and Maha Kala, are not masked. It consists of an almost continuous slow circling round and round, with a great deal of sword-brandishing; more like the sort of thing one sees at a military tournament, except that the performers are all dressed in elaborate costumes of Chinese silks of various bright and highly contrasting colours. The warriors formed up in two long lines as each of the two gods made its first entry from behind the dark brown curtains which covered the front of the monastery, after which the slow circling was again resumed. Both Kinchinjunga and Maha Kala did a rather dull pas seul, which went on much too long; it, too, consisted of the same slow circling, without any variation in the step. After a time each god gradually danced nearer and nearer the monastery entrance and finally disappeared within. The whole performance appeared to be without either beginning or end, and there seemed to be no reason why it should have ever finished. It was an attractive spectacle for the first twenty minutes or so, perhaps because of the brightly-coloured dresses, after which it quickly became intensely boring owing to the entire lack of variety. The music was provided by drums, cymbals, and clarionets and consisted of the O mani peme hum tune which we got to know so well in Lingtem, with the addition of indiscriminate undertones played on the long ten-foot monastery trumpets. I think the tune is more pleasing, however, when sung unaccompanied, as it always was by the Inebus in Lingtem. The dance ended with the circumambulation of the monastery by all the performers, including the two horses which are dedicated to the service of Kinchinjunga and Maha Kala, and never ridden from the day they are born. They were plumed and draped in thick Chinese brocades and looked most impressive; but considerable efforts on the part of their grooms were necessary before they could be persuaded to take their part in the formal procession."
630,"On the day previous to the ceremony he makes a large figure of a toad out of dough, buries it deep in the ground and lights a fire above it. He meditates inside the monastery but returns to the spot where he has buried the image in order to utter spells from time to time."
631,"On a za da o (Monday) between the first and the fifteenth day of 'ayit or ít (October-November) the people collect in the altar room of one of the houses. First they select a special place in the room, well away from the ordinary house altar, and dedicate it to p˘a dím rŭm, they clean that part of the floor, and cover it with banana leaves. They then decorate the special place with many flowers, and put a plate with a wild bird, a fish, rice and a bottle of cí on the leaves. Then they kneel down and prostrate themselves before this place, and a man officiating as the leader of the ceremony recites the following prayer to p˘a dím rŭm on behalf of the entire village. Having finished this prayer the leader turns to the people gathered and spits on them, thereby averting diseases and epidemics. Thereafter they eat, drink, and enjoy themselves for the remainder of the day and the following night, and next morning they return to their houses. The following year the same ceremony will be performed in another house, and in this way the ceremony will in the course of time be held in all the houses of the village"
632,"The mŭn Purifies the Place, On the day fixed the mŭn is invited to the place, where she performs a purifying ceremony for the protection of the house against the evil powers. For this purpose she is provided with some milk and butter, and invokes the gods to bless the building. She invokes her own tutelary deity asking for protection for the builder. She burns the butter and throws some drops of the milk into the air for the gods, and finally she pours the remaining milk on the four lines along which the walls of the house are going to be erected. Thereafter the building can begin."
633,"The Carpenter's Prayer, According to his ability the builder provides a bull or a goat as a sacrificial animal. The carpenter kills the animal, and offers blood to the mung, the dŭt, and the cen in order to prevent them from obstructing the erection of the house. On this occasion the carpenter recites a prayer. The lumps of meat and the drops of cí are thrown into the air in various directions as gifts to the mung, dŭt and cen. this ceremony is performed in honour of tsán dóng rŭm, the god of the house. The carpenter performs the ceremony to this rŭm both before the erection of the house, and when the building is finished. This rŭm sits on lí dóng kŭng, the cross of the house, and if this beam is ever destroyed, the ceremony must be repeated before a new one is put up."
634,"The Carpenter's Ceremony for Protection of the House, when the house has been erected, the carpenter performs a ceremony to his tutelary deity called mung gum rŭm or mung kung rŭm. He uses a hen, a green leaf, a Rupee, some paddy rice, some beaten rice, a fish and a bird. The green leaf is put on the small, low table called shing te kŭp (see p. 66), and all the other offerings are placed on the leaf. Then he offers the following petition to his tutelary deity. Afterwards the gifts offered are distributed to the children."
635,"Annual Sacrifice of Bull to lí rŭm. The house has its own god, called lí rŭm, who stays in the house and protects it and the members of the family. In the month ít, shortly after the Lepcha New Year, a ceremony is performed to lí rŭm. The head of the family selects a castrated bull, and the bong thíng or the mŭn is sent for. Inside the house the officiant arranges an altar of two small bamboo tables, placed close to the wall, one in front of the other. The officiant puts a heap of rice in the middle of the table close to the wall, and places an earthenware vessel, filled with oil and used as an oil lamp, on top of the rice. Three bamboo bottles with cí are placed on the second table. If the officiant is the bong thíng, he will keep his hat in his right hand while sitting cross-legged in front of the second table. When it is the mŭn, who officiates, she will loosen her hair and let it hang down her back, but she will not untie her plaits; and she will keep her particular headgear on her right shoulder. Then she will kneel down in front of the second table, and leaning forwards, she will say her prayers. The officiant prays to lí rŭm on behalf of the members of the family, expressing their gratitude because lí rŭm during the past year has protected the house and its inmates, and he/she states that the sacrifice of the bullock implies a request for protection in the year to come. Then the officiant asks a male member of the family to kill the bullock; its eyes are covered with leaves, and a man knocks it down by hitting it with an axe on the neck. Then they skin the dead animal, cut open the body, and disembowel it. Next they place a mat before altar no. 2 and place the legs of the bullock and some pieces of the meat on it, with the head of the bullock on top, facing the altar. The organs are kept outside the house. The officiant requests lí rŭm to accept the sacrifice, to protect the house, and to bestow happiness on its members; and he/she finishes his/her invocation by promising lí rŭm another bullock next year. Then the officiant touches the bamboo bottles with the middle finger, sprinkles drops of cí on the heap of rice, lightly touches the meat and requests lí rŭm to consume it. Finally the members of the family take away the meat, fry it and eat it."
636,"Initial Ceremony to mung. A sacrifice is performed at Tingbung during the summer season before the tilling of the fields for millet and maize. The sacrifice is performed early in the morning in any place where there is said to be a mung. Any domestic animal may be used for this purpose. A mŭn selects the sacrificial animal, and the whole village proceeds to the sacrificial place where they kill the animal by cutting its throat or by thrusting a pointed bamboo stick into its heart. They fill a bowl with the blood which squirts out and with this in their hands they approach the site of the mung, sprinkle some drops of blood on the place and recite the following. When this has been done they begin to prepare their fields. I was told that this ceremony is performed for all crops in fields which harbour a mung."
637,"Ceremonies to the mă yel beings. At Tingbung. According to rig zing, the Lepchas and also the Maharajah, perform ceremonies twice a year to the mă yel beings,—the first time when they have finished sowing seeds of paddy rice, and the second time after the harvesting of paddy rice. The proper time for making the initial preparation of the rice fields is indicated by the calls of various species of migratory cuckoos, supposed to have been sent by the mă yel beings to announce the arrival of the right moment. Then the Tingbung Lepchas taking a hen, a rupee, a fish, a wild bird, beaten rice, green leaves, tor ma, butter, and incense, gather in one of the houses, and perform an offering of these things to the mă yel rŭm, singing. In this ritual the rŭm, să kyŭ for paddy rice, să vi for millet and shă rŭng for maize are invoked. It is emphasised that it is just the right time for sowing, indicated by the condition of the soil and the phase of the moon. Both the rice and the millet are regarded as a family, the new seed of the millet being the daughter-in-law, and the new seed of the rice the son-in-law, while their grain are regarded as their children. The song finishes with the confident assurance that the coming harvest will be greater than that of last year: it will be both mother and child."
638,"Biannual Ceremony of the Tamgsangmu pŭ tsho. On a fixed date a male member of the pŭ tsho selects a red cock for the ceremony to be celebrated at the beginning of the next season. He cleans the beak and feet of the cock with water, and in the meantime the bong thíng is called in. When he arrives he prays to kong chen in approximately the following words. Today I consecrate this cock to you on behalf of Tamgsangmu pŭ tsho. Please take care of the family and protect it from sickness and misfortune until this cock is sacrificed at the next season. One morning very early before dawn, at the beginning of the next season, when the cock is to be sacrificed, the bong thíng is called in again. Meanwhile a cho kóng, a conical, ceremonial figure of rice, is moulded on a mat inside the house. The conical shape of this figure is meant to resemble a mountain peak, in this case the peak of kong chen. Three eggs are put in front of the cho kóng, and three pats of the yolk of a boiled egg are smeared on the front of the cho kóng. Then the cho kóng is carried to the top of a small hill from which kong chen can be seen. This must take place before sunrise. Next an altar is erected on the hill. For this purpose a square piece of ground is chosen, at the four corners of which a bamboo post is stuck into the earth. Then the mat is laid on top of the posts, each of its corners being tied to a post. The cho kóng is placed in the middle, facing kong chen. Finally a long bamboo staff carrying a red flag is tied to the left front post. Then the bong thíng asks a man to bring the consecrated cock and another man to clean its beak and feet. Standing in front of the altar and holding the cock in his hands, the bong thíng says approximately the following words: ‘To our promise we now bring you the cock that was consecrated six months ago’. He pours water on the cock's comb and puts rice on its head. Then he hands over the cock to one of the men and orders him to kill it. The man cuts the cock's throat, plucks and draws it, and cleans its body in water. Then the beak and the legs are cleaned in boiling water, the body is cooked, and mixed with cooked rice, the meat is served as a sacrificial meal on a plate that is placed in front of the cho kóng. The bong thíng now prays to kong chen. Immediately after this prayer the bong thíng crushes the shells of the three eggs put in front of the cho kóng, pours out carefully the yolks on a plate, and, examining thoroughly the surfaces of the yolks, he augurs the future of the pŭ tsho. That is the end of the ceremony; the sacrificial meal is now removed from the altar and eaten by the assembled members of the pŭ tsho."
639,"Biannual Ceremony of Female pŭ tsho. Tamsang told me that the female pŭ tsho have their own ceremony with the same procedure and with similar rites, but under the guidance of a female mŭn. The altar, however, is quite different. There are no posts and no flag, and the cho kóng is placed on a mat rolled out on the ground. This cho kóng is made of rice moulded into the shape of a large, cube with a slight, square hollow in the middle of the top. This hollow represents the ancestral Himalayan tarn from which the pŭ tsho originated. On each of the four edges of the hollow a pat of yolk is smeared."
640,"Ceremony for the New-born Child. The people of Tingbung celebrate a long ceremony on the third day after a childbirth. The family usually calls rig zing and the mother of kă lók, who is an old mŭn. Inside the house a small altar is arranged with a rupee, a hen, a vessel with cí, and a lamp, as gifts to na zong mŭ nyŭ. The purpose of the ceremony is to secure the child a long life and to protect it against diseases. At some time during the ceremony, when the family have sacrificed the hen and have presented the offering gifts to the gods, rig zing recites the following prayer. Despite the many obscure phrases, all of which even rig zing could not explain, the meaning of the prayer is obvious: it is a series of invocations of several rŭm for the protection of the child, and a series of petitions to several mung accompanied by a recital of what the people have done in order to prevent the influences of certain evil powers."
641,"First Wedding Ceremony: pă nol. The young man's parents now make the necessary preparations for the pă nol, collecting for the ceremony two loins of a pig or an ox, a big load of cí, 25 rupees, and a ceremonial scarf as gifts. When these things are ready, they have to be consecrated by a bong thíng or a mŭn before they are taken to the girl's parents. The consecration is performed in the following way: The gifts collected are placed in front of the bong thíng or the mŭn, incense is burnt, and cí and rice are offered to the gods. The officiant recites a long prayer of invocation to the gods, asking them to bless the wedding, to bestow happiness upon the young couple, and to make their union prosperous and fertile. When the consecration is over, they all consume a meal of rice and meat. The following day the go-between, the young man, and two men carrying the gifts set off for the house of the young man's future parents-in-law. When they arrive there, the suitor greets his prospective parents-in-law very courteously and stays with them for three days. On his departure he is presented with a gift of cí and meat."
642,"Second Wedding Ceremony: a shek. When the men return from the above visit, the family make arrangements for the considerable gifts called nyóm să a far, price, value of labour portion of produce given to assistant. the price of the bride, to be presented to the girl's parents as soon as possible after the first ceremony. The interval between the two ceremonies is often not more than a few days, and at all events a longer interval than a few weeks is not considered proper. When the gifts are ready, they are thoroughly examined and consecrated by the bong thíng or the mŭn, after which the whole family and the officiant sit down to enjoy a meal. When this is over a procession is formed for the purpose of taking the gifts to the bride's family. The procession consists of the following people. On their way to the house belonging to the bride's parents the members of the procession stop for a ceremonial drink of tea, called lóm thóng. When the party reach the bride's house, they are received by the bride's byek bo, go-between, who leads them into the house, where they take their seats according to their rank. The bride's party arranged according to rank and position sit facing the bridegroom's party, and between the two parties the two byek bo of the bridegroom and the bride will stand. Meanwhile cí is served to all the members of both parties. Thereafter the performance proper of the a shek, a marriage-gift made before marriage to parents of bride, as price value of the girl varying in demand according to the circumstances of the bridegroom. begins. While the milch cow and the young bull are kept outside, the brass pot, the two loins of ox or pig, the load of cí, the garment for the bride's mother, the bundle of cloth for the bride's father, the money and the scarves are placed before the bride's party on a large bamboo mat in order to be presented to the respective relatives of the bride. The bride is then led into the room and seated by the side of the bridegroom. Taking a ceremonial scarf in his hands the bridegroom's byek bo addresses the bride's party requesting them to accept the a shek. If the bride's party find the a shek satisfactory, they touch the gifts with their fingers as a token of acceptance, if not, there will be a great discussion, and the bridegroom's party may have to pay some extra money in order to supplement the a shek. The time has now arrived for the religious ceremony. The bong thíng or the mŭn consecrates the gifts, incense is burnt, rice is offered, and cí is offered from small cups smeared with butter. The officiant bong thíng or mŭn recites a long prayer invoking several gods and asking them to bless the young couple and to make their union fruitful and prosperous. They are pledged to be good to each other, and are given cí to drink from a consecrated cup smeared with butter. Thereafter the bridegroom's byek bo distributes the gifts, and the rest of the day and the following night are spent in feasting, singing, and dancing."
643,"Third Wedding Ceremony. Some months later the bride will be taken to the bridegroom's parents' house and the final wedding ceremony is performed. Before leaving her parents' house the bride is finely clothed and decorated with ornaments presented to her by her relatives. She is accompanied by a body of persons comprising her go-between, her paternal uncle, her paternal aunt, her maternal uncle, her maternal aunt, her brother, some other near relatives, her close friends and some people from the village. They carry with them a load of cí and a slaughtered pig. On the way members of the bridegroom's family will provide them with lóm thóng, tea-on-the-way. On arriving at the house belonging to the bridegroom's parents they are welcomed by the bridegroom's byek bo and conducted inside. When the bride enters the house, the bridegroom's mother steps forward and receives her by putting a bangle, called nyóm tŭk víl, vb. to fetter, to chain, deriv. tŭk-víl s. chains, fetters, fastening. the bride's chains, on the wrist of her right hand as a token that she is accepted as a daughter-in-law. At the same time this small ceremony implies that from that day she is locked up in the family. At each side of the entrance door some jugs full of water and two loads of dry wood are kept. Before entering the house all the attendants of the bride have to dip the middle finger and the thumb of their right hand into the water and to throw some drops towards the sky. But the bride must carry a jug full of water and two pieces of wood from each load into the house. She puts the pieces of wood on the burning hearth, and she pours the water into a big pot which has been kept on the hearth for the purpose of boiling water for preparing cí. Then she calls the gods of the hearth, of the fire and of the water to witness that from today she has become a member of the family. When the bride's attendants have taken their seats, cí is served, and the bridegroom's relatives place their presents before the bride's attendants, thereby indicating their acceptance of the bride. Meanwhile the bridegroom and the bride sit together. Thereafter the bride's byek bo takes a scarf in one hand and a rupee in the other and addresses the bride as follows: ‘You have now been married into such and such pŭ tsho, and you are now bound to them and have no connection with any people other than the members of this pŭ tsho. In the beginning tar bong bo and na rip nom instituted and organised the marriage, and today we celebrate the wedding accordingly. Now you are bound! So saying, the bride's byek bo hangs the scarf round the bride's bowed neck and puts the rupee into her hand. He then resumes his seat. Thereafter the bride's paternal uncle stands up and addresses the members of the bridegroom's party as follows: ‘We are giving this girl of ours to such and such pŭ tsho. If you are not good to her, we shall take her back and we shall punish you’. Then the bridegroom's paternal uncle stands up and expressing elaborate thanks to the bride's attendants he says:’ From today the bride will be our daughter, and the bridegroom will be your son!’ And he promises solemnly that the bride will be treated well, and that they will try their best to make her happy. Then a second round of cí, rice, meat and vegetables is served. The bridegroom and the bride sit together and enjoy their meals from the same plate and drink their cí from the same cup. The bride is served zo gul consisting of different sorts of meat on top of which is put a roast cock. She does not eat the cock, but sends it to her mother signifying that she has now been fully accepted as a bride, and that she has been recognised as a member of her new family."
644,"The Common Meal. On the last day of the old year all the members of the family, the father and mother, their children, the sons-in-law, the daughters-in-law, and the grandchildren assemble in the house of the family. Any male member of the family who has moved away from the house of the old parents will join them. If the old parents are not alive, the members of the family will assemble in the house belonging to the eldest brother. The mŭn and the bong thíng will also be present. Then a big ox or a big pig is killed, and the bong thíng and the mŭn offer the cooked meat of the animal, rice, and cí to “the Good Spirit”. This offering must take place before noon. Afterwards the members of the family eat the meat and drink cí prepared specially for this occasion."
645,"The Ceremonial Figure of the Old Year. In the afternoon the bong thíng and the mŭn mould some rice into the shape of a figure representing the old year, place the figure on a large, round basket, and decorate it with various kinds of leaves and grasses. The bong thíng also makes a small pot of moulded rice and puts some butter and a twig into it in order to use it as a lamp in front of the figure. When it is beginning to get dark the bong thíng decides on the auspicious time for the carrying away of the figure. The mŭn falls into a trance, and she, too, chants the auspicious time for the carrying away of the figure, and in addition she gives information about the direction in which the figure must be carried. At the auspicious time the figure is moved into the middle of the room and placed facing the main door, and the bong thíng and the mŭn take their seats quite close to it. The mŭn chants, thanking “the Good Spirit” for bestowing happiness, prosperity, and peace upon the household, and for the protection of the family from illness, famine, etc. Sprinkling cí from a cup smeared with butter she prays to “the Good Spirit” requesting it in the year to come to bestow happiness, prosperity, and peace upon the family. Purification of the Members of the Family. Then the mŭn rises to her feet and takes two bunches of twigs and a thorny stick to which is tied a rupee. While the members of the family are sitting in front of the figure, she makes some sweeping movements with the twigs and the sticks along their bodies. She begins with the father and several times sweeps his head, shoulders, body, and legs, continually making the sweeping movements from above downwards. At the same time she prophesies that she now sweeps away not only the evil effects of unlucky days of the dying year, but also the misfortunes which during the old year have rested upon him, and which would still burden his life. She assures him that from now on these evils will be transmitted to the figure. Finally she declares him purified. Then she turns to the next member of the family performing the same ceremony, and in this way she purifies all the persons one by one. The bong thíng then rises and puts a handful of rice into the hands of each member of the family asking them to clench their fists in order that the imprints of their hands will be left clearly on the moulded rice. He then goes up to the father, takes his two pieces of moulded rice with the imprints of his hands, and says a prayer mentioning the name of the father and the name of the year in which he was born. He touches the old man's head, shoulders, and legs, first on the right side, then on the left side, orders him to spit on the two pieces of moulded rice with the imprints of his hands, and asks him to put them in front of the figure. Finally he declares that all the evils, misfortunes, diseases, etc. which have plagued him during the old year, will now leave him and pass over to the figure. Then he proceeds to all the other members of the family and purifies them in turn in the same way. This procedure may take quite a long time. The Casting out of the Evil and the Old Year. The bong thíng takes a basket full of powder made of buckwheat, rice, beans, maize, pulse, etc. and spreads the powder on the floor in a line like a path from the figure to the main door. He then selects among the assembled people a number of young men, taking care that the names of their years of birth do not coincide with the names of any of the three previous years and the three coming years. It is the duty of these young men to carry away the figure, which is now loaded with all the evil powers which have plagued the members of the family. He therefore instructs them meticulously about the direction in which they must go. The Lepchas also believe that a great number of mung will disappear along the powder-path, following the figure. When the young men have carried the figure out of the house, a girl sweeps the floor, throws the powder outside the house, and closes the main door carefully. It is a common belief that when the powder has been thrown outside, the mung will be unable to find their way back to the house. When the girl has closed the door, the assembled people sit in silence waiting for the young men to return. On arriving they knock on the door, and the bong thíng and the mŭn rise immediately and taking a pot full of cí and some embers from the hearth, they open the door and throw outside some of the contents of the pot. On entering the young men must touch the embers with their hands and feet, while the mŭn sprinkles them with drops of cí. By touching the embers the mung, following the young men, will be scared away, and the sprinkling with cí purifies the young men of the evil effects of their contact with the figure. In this way the ceremony prevents anything evil being carried into the house."
646,"The Second Day of the New Year. Very early before dawn all the members of the family take a bath and put on new clothes. Before sunrise they assemble in front of the house altar, and while the head of the family burns candles and incense, they all sit down in a group praying for health, prosperity, and peace in the year to come. A special cup full of cí and smeared on the rim with three lumps of butter has been kept on the altar. It is now taken down by the head of the family who sprinkles cí three times towards the sky, and then drinks a little of it. Small pats of butter are then taken from the lumps on the rim of the cup and put on the foreheads of all present. If there are any babies in the family, the mother will also put her fingers into the cup and sprinkle some drops of cí into the mouths of the babies. Thereafter the head of the family distributes presents to all of them, and the old members of the family give presents to the younger ones, and the younger ones to the still younger ones. Finally all the younger people bow down before the old people asking for their blessing. Then they all sit down in the large room in order to enjoy a meal in common. But first the head of the family sacrifices food to the gods, and says a prayer. He also takes a small quantity of rice and curry from everybody's dish, puts it on a large banana leaf, offers it to the mung, and throws it outside. Thereafter they can enjoy their meal, joking and laughing. When the meal is over, they leave the house to visit their neighbours, to greet them, to wish them a happy New Year, and to ask them for their blessing. All the villagers pay a special visit to the headman, taking with them as presents a ceremonial scarf, a loin of pork, and a big load of cí. The headman in return presents them with a lavish meal and entertains them. Tamsang, who is himself a headman, says that he usually gives the villagers a good meal of rice and curry prepared with spices, and several Indian, Tibetan and Chinese dishes and sweets, and sometimes tinned foods, and various favourite drinks. If they are accompanied by children, he presents the children with money and sweets"
647,"The Initial Ceremony. The initial ceremony takes place in the palace grounds at Gangtok. Headed by the priest about twenty men set out from Tingbung and walk to Gangtok. In the palace grounds the Maharajah (or his representative?) receives them, presenting them with a yak, some pieces of cloth, some rice, and some cí. While still in the palace grounds they decorate the horns of the yak with the pieces of cloth, and presenting it with the rice and some money, they join the priest in the following prayer which he recites in front of the yak. In this brief opening prayer the main points of the entire kong chen ceremony immediately come to the fore: The invocation of the rŭm, i. e. kong chen; the threefold request to kong chen that they may not be infested with diseases; the Maharajah's participation in the ceremony by donating the sacrificial animal; the people's presentation of the sacrificial animal to kong chen; and the final prayer to kong chen to accept the sacrifice. The words “the sky and the sun” (4) are a current honorific term for the Maharajah. The Procession from Gangtok to the hla thu Shrine. Thereafter the men set out in procession to the hla thu of Tingbung: the yak is led at the head of the procession, followed by the priest, and after him the other Lepchas. Some men are equipped with drums and bells, playing as an orchestra in honour of the yak, while now and again young men perform ceremonious steps as a processional dance. Not only the arrangement of the procession, but also the persons acting in it, characterise the entire performance as a very holy undertaking. From time to time the priest intones a holy and secret hymn (cf. p. 192) in a low murmuring voice, the men joining him by raising their voices at the end of each line. This hymn is simple and monotonous, but rich in references to Lepcha mythology. The Nocturnal Ceremony in the Priest's House, a great body of men have assembled in the altar room of the priest's house, and during the following night a ceremony will be celebrated here by the priest. They light the butter lamps and, while prostrate in front of the altar, the priest recites the following prayer. This prayer is an invocation of kong chen and kóng lo on behalf of the Maharajah entreating them to prevent the mung mentioned from doing any harm to the Maharajah. All the obscure phrases and names refer to mung or to neighbouring peoples supposed to be governed by mung; among these are enumerated the Bhutanese king, the Nepalese, and the Limbus; peoples with whom the Lepchas have had quarrels or wars during the last centuries."
648,"The Sacrifice of the Yak at the hla thu Shrine. Very early next morning the people from Tingbung gather at hla thu bringing cí and rice, and soon the priest arrives accompanied by the men who have joined him in the night ceremony in his house. They bring the spear, the big elephant tusk, a tor ma, pieces of cloth, small altar vessels, and the gun from the priest's house. The priest decorates the yak with pieces of cloth, while some prayer flags, which have been presented by the Maharajah, are hung in the top of one of the trees. The priest then arranges the bamboo platform as a provisional altar with the tor ma, the vessels, and some other pieces of cloth. He then smears small lumps of butter on the tops of the stones of the shrine, fills the vessels with a mixture of rice and cí, steps forward, and throwing rice and cí into the air he recites the following prayer. The meaning of this prayer, imploring protection, is obvious. The priest requests kong chen not to cause any harm or trouble to the Maharajah, but to give him a long life; he beseeches kong chen not to cause any illness to come upon the cattle and the people, but to give them a peaceful life; and he emphasises that today they have given tribute to kong chen and offerings of first-fruits to his wife. When the priest has finished his prayer, a man, naked to the waist, steps forward, ready to kill the yak. This act is his particular duty, he has been appointed to it by the Maharajah, and he performs it every year. He grasps the spear, which has been brought from the priest's house, and thrusts it into the heart of the yak. The Lepchas say that no drop of blood gushing out will fall to the ground, but all the blood will disappear immediately and completely—an omen that the sacrifice has been accepted. When the yak has died, some men hastily skin it, cut open the body, and cutting a piece from each important part of the body, they collect these pieces and boil them. The priest then steps forward, takes these pieces, and mixing them with rice and with blood from the yak, he moulds them into small lumps. While invoking the supernatural beings, one by one, he throws the lumps into the air, requesting the rŭm and the mung to accept the sacrifice. The Common Meal on the Remainder of the Yak and the Priest's Final Prayer. The people collected now enjoy a common meal on the remainder of the rice and the meat, and drink what is left of the cí, but everybody always throws something of his meal and some drops of his cí into the air as gifts to the supernatural beings. When the meal is over the people depart and return to their houses, each of them taking some pieces of meat with him for the members of his family. The priest receives the head, the hide of the yak, and some selected pieces of meat as his share. He goes to his house altar, lights some lamps, burns incense, and prays to kong chen. I did not succeed in obtaining the wording of this prayer, but I was told that he asks kong chen not to cause him trouble, pain and damage in the year to come between now and the celebration of the ceremony the next year."
649,"The haircutting ceremony (haqīqa) , occurs on the seventh or fortieth day after a child is born. This is his first religious act. He gives gold-dust, equivalent in weight to his shaved-off hair, as alms to the poor. This event is celebrated by the sacrifice of a sheep or goat, providing meat for a feast to which thirty to forty men are invited, most of them as members of the local association."
